ID_event,Year,Month,TimeStep,Lat,Lon,Vmax_ms,RMW_km,category,r_km,source,geometry
08394,83,9,13.0,12.5,315.2,62.8,27.780000686599998,4,1849.3076248820796,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (315.2 12.5)
08394,83,9,14.0,12.4,314.5,61.6,27.780000686599998,4,1778.8746145874334,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (314.5 12.4)
08394,83,9,15.0,12.3,313.8,61.3,27.780000686599998,4,1708.8654760823933,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (313.8 12.3)
08394,83,9,16.0,12.1,313.2,61.2,27.780000686599998,4,1653.0663808012853,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (313.2 12.1)
08394,83,9,17.0,12.0,312.6,59.7,27.780000686599998,4,1594.5343934093203,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (312.6 12)
08394,83,9,18.0,12.0,312.0,57.8,27.780000686599998,3,1532.8062562962043,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (312 12)
08394,83,9,19.0,12.1,311.5,56.6,27.780000686599998,3,1477.8108738041492,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (311.5 12.1)
08394,83,9,20.0,12.2,311.0,54.8,27.780000686599998,3,1422.8595964768585,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (311 12.2)
08394,83,9,21.0,12.4,310.5,53.2,27.780000686599998,3,1364.2107690409541,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (310.5 12.4)
08394,83,9,22.0,12.6,310.1,52.5,27.780000686599998,3,1315.866296591518,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (310.1 12.6)
08394,83,9,23.0,12.7,309.7,52.7,27.780000686599998,3,1271.207868791412,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (309.7 12.7)
08394,83,9,24.0,12.8,309.3,52.4,27.780000686599998,3,1226.5707034553818,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (309.3 12.8)
08394,83,9,25.0,12.9,308.9,51.8,27.780000686599998,3,1181.955546203099,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (308.9 12.9)
08394,83,9,26.0,13.0,308.5,51.5,27.780000686599998,3,1137.3632367725806,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (308.5 13)
08394,83,9,27.0,13.1,308.1,51.7,27.780000686599998,3,1092.7947279378488,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (308.1 13.1)
08394,83,9,28.0,13.3,307.7,52.8,27.780000686599998,3,1044.5577513726212,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (307.7 13.3)
08394,83,9,29.0,13.5,307.3,52.3,27.780000686599998,3,996.4101130509581,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (307.3 13.5)
08394,83,9,30.0,13.7,306.8,52.4,27.780000686599998,3,938.0946677441231,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (306.8 13.7)
08394,83,9,31.0,13.9,306.3,52.4,27.780000686599998,3,879.8501780201312,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (306.3 13.9)
08394,83,9,32.0,14.1,305.7,51.9,27.780000686599998,3,811.3973925324867,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (305.7 14.1)
08394,83,9,33.0,14.3,305.2,52.0,27.780000686599998,3,753.2992431763176,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (305.2 14.3)
08394,83,9,34.0,14.5,304.7,52.5,27.780000686599998,3,695.2970126806654,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (304.7 14.5)
08394,83,9,35.0,14.7,304.3,52.0,27.780000686599998,3,647.758855935087,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (304.3 14.7)
08394,83,9,36.0,14.9,303.9,49.7,27.780000686599998,3,600.424597048158,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (303.9 14.9)
08394,83,9,37.0,15.0,303.5,46.6,27.780000686599998,2,556.0243588324323,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (303.5 15)
08394,83,9,38.0,15.2,303.0,45.5,27.780000686599998,2,498.5429871652212,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (303 15.2)
08394,83,9,39.0,15.2,302.5,46.6,27.780000686599998,2,446.5098858072403,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (302.5 15.2)
08394,83,9,40.0,15.3,302.0,46.1,27.780000686599998,2,391.8088355363878,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (302 15.3)
08394,83,9,41.0,15.4,301.7,42.4,27.780000686599998,2,357.848169908106,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (301.7 15.4)
08394,83,9,42.0,15.6,301.4,40.0,27.780000686599998,1,321.3655082735981,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (301.4 15.6)
08394,83,9,43.0,15.7,301.0,39.0,27.780000686599998,1,277.1443677234799,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (301 15.7)
08394,83,9,44.0,15.8,300.6,38.1,27.780000686599998,1,232.96378974884948,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (300.6 15.8)
08394,83,9,45.0,15.9,300.1,36.9,27.780000686599998,1,178.32469853051398,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (300.1 15.9)
08394,83,9,46.0,15.9,299.7,35.3,27.780000686599998,1,136.54261247919246,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (299.7 15.9)
08394,83,9,47.0,15.9,299.3,31.6,27.780000686599998,0,95.62552498267878,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (299.3 15.9)
08394,83,9,48.0,16.1,299.0,26.6,27.780000686599998,0,58.63051653970451,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (299 16.1)
08394,83,9,49.0,16.2,298.8,22.9,27.780000686599998,0,36.2402509654133,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (298.8 16.2)
08394,83,9,50.0,16.3,298.5,20.5,27.780000686599998,0,12.133589308690208,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (298.5 16.3)
08394,83,9,51.0,16.3,298.2,20.4,27.780000686599998,0,30.07801599617478,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (298.2 16.3)
08394,83,9,52.0,16.4,297.9,21.8,27.780000686599998,0,63.9514244536192,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (297.9 16.4)
08394,83,9,53.0,16.5,297.7,24.7,27.780000686599998,0,87.87966354808033,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (297.7 16.5)
08394,83,9,54.0,16.7,297.5,23.9,27.780000686599998,0,116.72546328431126,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (297.5 16.7)
08394,83,9,55.0,16.9,297.2,28.8,27.780000686599998,0,155.46778206385866,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (297.2 16.9)
08394,83,9,56.0,17.1,297.1,31.7,27.780000686599998,0,176.3476357018959,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (297.1 17.1)
08394,83,9,57.0,17.3,297.0,35.1,27.780000686599998,1,198.0829524163188,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt,POINT (297 17.3)
